produto,cor_produto,motivo,etapa,observacao
367234,07742,ID_CAMPANHA_NAO_AUTORIZADO_PELO_PRODUCT_OWNER,GATE_HUMANO_ID_CAMPANHA,"Registro tecnicamente candidato conforme legado, mas campanha ainda nao foi autorizada explicitamente."
367234,07748,ID_CAMPANHA_NAO_AUTORIZADO_PELO_PRODUCT_OWNER,GATE_HUMANO_ID_CAMPANHA,"Registro tecnicamente candidato conforme legado, mas campanha ainda nao foi autorizada explicitamente."
367846,07448,ID_CAMPANHA_NAO_AUTORIZADO_PELO_PRODUCT_OWNER,GATE_HUMANO_ID_CAMPANHA,"Registro tecnicamente candidato conforme legado, mas campanha ainda nao foi autorizada explicitamente."
367847,07448,ID_CAMPANHA_NAO_AUTORIZADO_PELO_PRODUCT_OWNER,GATE_HUMANO_ID_CAMPANHA,"Registro tecnicamente candidato conforme legado, mas campanha ainda nao foi autorizada explicitamente."
368530,10066,ID_CAMPANHA_NAO_AUTORIZADO_PELO_PRODUCT_OWNER,GATE_HUMANO_ID_CAMPANHA,"Registro tecnicamente candidato conforme legado, mas campanha ainda nao foi autorizada explicitamente."
368531,10066,ID_CAMPANHA_NAO_AUTORIZADO_PELO_PRODUCT_OWNER,GATE_HUMANO_ID_CAMPANHA,"Registro tecnicamente candidato conforme legado, mas campanha ainda nao foi autorizada explicitamente."
368537,58302,ID_CAMPANHA_NAO_AUTORIZADO_PELO_PRODUCT_OWNER,GATE_HUMANO_ID_CAMPANHA,"Registro tecnicamente candidato conforme legado, mas campanha ainda nao foi autorizada explicitamente."
371830,07742,ID_CAMPANHA_NAO_AUTORIZADO_PELO_PRODUCT_OWNER,GATE_HUMANO_ID_CAMPANHA,"Registro tecnicamente candidato conforme legado, mas campanha ainda nao foi autorizada explicitamente."
371830,09269,ID_CAMPANHA_NAO_AUTORIZADO_PELO_PRODUCT_OWNER,GATE_HUMANO_ID_CAMPANHA,"Registro tecnicamente candidato conforme legado, mas campanha ainda nao foi autorizada explicitamente."
371832,07448,ID_CAMPANHA_NAO_AUTORIZADO_PELO_PRODUCT_OWNER,GATE_HUMANO_ID_CAMPANHA,"Registro tecnicamente candidato conforme legado, mas campanha ainda nao foi autorizada explicitamente."
